twid	timestamp	predicted_event	predicted_city	latitude	longitude	predicted_faction
756232298639532032	1469149204.0	bombing	Manbij,Manbej,Manbi,Membidj,Memdidge,Menbidj,Menbij,Mennbidj,Minbej	36.5269242	37.9559288	4
782542872901890049	1475422134.0	bombing	Hamah	35.9841881	37.1244316	0
788998039725682688	1476961166.0	bombing	Idlib	35.9278306	36.6353017	1
780017306881503232	1474819992.0	bombing	Daail, Daal, Dael, Daél, Dâail, Dā`il	32.75	36.1333333	1
703336262455971840	1456541406.0	bombing	Defenn	32.5454147	36.6416973	1
703336262455971840	1456541406.0	bombing	Kafr	35.7291667	35.8583333	1
762993099241029632	1470761105.0	bombing	Manbij,Manbej,Manbi,Membidj,Memdidge,Menbidj,Menbij,Mennbidj,Minbej	36.5269242	37.9559288	4
776050308720001024	1473874186.0	bombing	Wuquf	36.5856146	37.4261424	1
782198846063423489	1475340112.0	bombing	Homs	34.7333334	36.7166667	1
782198846063423489	1475340112.0	bombing	Idlib	35.9278306	36.6353017	1
728137696716034050	1462450929.0	bombing	Khan Tuman	36.1155677	37.0495639	1
710817978460327938	1458321587.0	bombing	Hish	35.5487261	36.6416144	4
796785772665901060	1478821506.0	clash	Fourat	35.3605962	40.1058158	4
715493369649225728	1459436287.0	bombing	Damascus	33.5130695	36.3095814	1
773130530112045056	1473178057.0	diplomacy	Homs	34.7333334	36.7166667	4
777428255448195074	1474202714.0	bombing	Homs	34.7333334	36.7166667	0
766733377047257088	1471652856.0	takeover	Jedid, Jédîd, Jadīd	35.8833333	38.3833333	2
766733377047257088	1471652856.0	takeover	Manbij,Manbej,Manbi,Membidj,Memdidge,Menbidj,Menbij,Mennbidj,Minbej	36.5269242	37.9559288	2
784825476388827136	1475966349.0	bombing	Hamah	35.9841881	37.1244316	1
775988994249285632	1473859568.0	bombing	Tasnin	34.8693807	36.6529357	0
775988994249285632	1473859568.0	bombing	Homs	34.7333334	36.7166667	0
755143107239350273	1468889521.0	bombing	Manbij,Manbej,Manbi,Membidj,Memdidge,Menbidj,Menbij,Mennbidj,Minbej	36.5269242	37.9559288	2
779943259430752256	1474802338.0	bombing	Homs	34.7333334	36.7166667	1
688301268650053632	1452956785.0	bombing	El Mach'had, El Mâch'had, Mach'had, Machete, Machette, Mashhad	36.294018	36.8790285	4
747592406615334912	1467089293.0	clash	Manbij,Manbej,Manbi,Membidj,Memdidge,Menbidj,Menbij,Mennbidj,Minbej	36.5269242	37.9559288	2
747592406615334912	1467089293.0	clash	Tellik, Tellîk, Tallik, Talik	36.780333	38.1073356	2
769693794031792128	1472358675.0	bombing	Killi	36.1109045	36.69473	1
654625436983496704	1444924241.0	bombing	Dummar	33.5324827	36.2343061	0
654625436983496704	1444924241.0	bombing	Homs	34.7333334	36.7166667	0
747582804670746624	1467087004.0	takeover	Manbij,Manbej,Manbi,Membidj,Memdidge,Menbidj,Menbij,Mennbidj,Minbej	36.5269242	37.9559288	2
786626083852517376	1476395647.0	bombing	Malik	37.0069444	40.5222222	1
767733078697574401	1471891204.0	bombing	Mada'in	35.8560847	37.3060265	1
703899998682009601	1456675812.0	bombing	Saiyed, Saïyed, Sayyid	34.6333333	37.0333333	4
703899998682009601	1456675812.0	bombing	Saiyed, Saïyed, Sayyid	34.6333333	37.0333333	4
703899998682009601	1456675812.0	bombing	Mastur	36.055	39.7886111	4
532968545467265024	1415922577.0	bombing	Sakba, Saqbah, Saqbā	33.5184752	36.3799215	4
740840736195776512	1465479570.0	bombing	Manbij,Manbej,Manbi,Membidj,Memdidge,Menbidj,Menbij,Mennbidj,Minbej	36.5269242	37.9559288	4
726023694720577537	1461946912.0	bombing	Nayrab	36.1746244	37.2280961	1
784315362871418880	1475844729.0	bombing	`Asim	32.9481823	36.3235971	1
784315362871418880	1475844729.0	bombing	Damascus	33.5130695	36.3095814	1
740503626850918400	1465399197.0	clash	Mari`	36.4814643	37.1968431	0
740503626850918400	1465399197.0	clash	Kafr	35.7291667	35.8583333	0
740163205524279296	1465318034.0	bombing	Palmira, Palmyre, Tadmor, Tadmur, Tamar, Tedmor, Palmyra	34.5560155	38.2809746	0
740163205524279296	1465318034.0	bombing	Huraybil	36.1328739	37.1725869	0
779295522221858816	1474647905.0	bombing	El Mach'had, El Mâch'had, Mach'had, Machete, Machette, Mashhad	36.294018	36.8790285	1
779295522221858816	1474647905.0	bombing	Dayn	35.4833333	36	1
779295522221858816	1474647905.0	bombing	Shaqif	33.7666667	36.1666667	1
795286703204352000	1478464100.0	bombing	Damascus	33.5130695	36.3095814	1
